Thu Jan 16 08:42:43 JST 2020: @@@ RUN STAMP @@@ -- Frontier-is
Thu Jan 16 11:40:14 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:40:14 JST 2020: send msg: [addAction:requestMessage:am;114014854] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:40:18 JST 2020: send msg: [114014854] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:40:18 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:40:18 JST 2020: send msg: [addAction:requestMessage:am;114018833] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:40:18 JST 2020: send msg: [addAction:say:うん、大変そう:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:40:19 JST 2020: send msg: [clear] to 'sh' (/127.0.0.1, ID:16)
Thu Jan 16 11:40:19 JST 2020: send msg: [kanren] to 'sh' (/127.0.0.1, ID:16)
Thu Jan 16 11:40:19 JST 2020: send msg: [clear] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:40:19 JST 2020: send msg: [kanren] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:40:19 JST 2020: send msg: [clearBehavior] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:40:19 JST 2020: send msg: [clearBehavior] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:40:19 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:40:19 JST 2020: send msg: [addAction:say:キュートなイヤリングだね] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:40:19 JST 2020: send msg: [addAction:requestMessage:am;114019537] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:40:21 JST 2020: send msg: [114019537] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:40:21 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:40:21 JST 2020: send msg: [addAction:requestMessage:am;114021570] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:40:21 JST 2020: send msg: [addAction:say:そうだね、華やかさもあるね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:40:24 JST 2020: send msg: [114021570] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:40:24 JST 2020: send msg: [addAction:say:ファッションを選ばずに合わせられそうだね] to 'sota' (/100.80.194.202, ID:33)
