Mon Oct 21 10:12:03 JST 2019: @@@ RUN STAMP @@@ -- Frontier-is
Mon Oct 21 12:10:54 JST 2019: send msg: [addAction:say:商品がたくさんあって迷っちゃうなあ] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:10:54 JST 2019: send msg: [addAction:requestMessage:am;12105447] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:10:55 JST 2019: disconnect with: 'op' (/127.0.0.1,87)
Mon Oct 21 12:10:57 JST 2019: send msg: [12105447] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:10:57 JST 2019: send msg: [addAction:say:たくさんあるなあ、どんな方法で探そうかな?:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:84)
Mon Oct 21 12:10:57 JST 2019: send msg: [addAction:requestMessage:am;121057213] to 'sota2' (/100.80.194.248, ID:84)
Mon Oct 21 12:11:01 JST 2019: send msg: [121057213] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:11:01 JST 2019: send msg: [addAction:motionWith:pose:-1200:-900:0:900:0:-400:0:0:700] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:11:01 JST 2019: send msg: [addAction:requestMessage:am;12111524] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:11:01 JST 2019: send msg: [addAction:say:予算から絞り込んでみようかな] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:11:04 JST 2019: send msg: [12111524] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:11:09 JST 2019: Connect with /127.0.0.1, ID: 140
Mon Oct 21 12:11:09 JST 2019: Register name as: 'op' (/127.0.0.1, ID:140)
Mon Oct 21 12:13:20 JST 2019: disconnect with: 'op' (/127.0.0.1,140)
Mon Oct 21 12:13:29 JST 2019: Connect with /127.0.0.1, ID: 144
Mon Oct 21 12:13:29 JST 2019: Register name as: 'op' (/127.0.0.1, ID:144)
Mon Oct 21 12:15:07 JST 2019: disconnect with: 'op' (/127.0.0.1,144)
Mon Oct 21 12:15:17 JST 2019: Connect with /127.0.0.1, ID: 148
Mon Oct 21 12:15:17 JST 2019: Register name as: 'op' (/127.0.0.1, ID:148)
Mon Oct 21 12:17:20 JST 2019: disconnect with: 'op' (/127.0.0.1,148)
Mon Oct 21 12:18:54 JST 2019: Connect with /127.0.0.1, ID: 152
Mon Oct 21 12:18:54 JST 2019: Register name as: 'op' (/127.0.0.1, ID:152)
Mon Oct 21 12:19:38 JST 2019: disconnect with: 'op' (/127.0.0.1,152)
Mon Oct 21 12:21:15 JST 2019: Connect with /127.0.0.1, ID: 156
Mon Oct 21 12:21:15 JST 2019: Register name as: 'op' (/127.0.0.1, ID:156)
Mon Oct 21 12:21:53 JST 2019: disconnect with: 'op' (/127.0.0.1,156)
Mon Oct 21 12:22:06 JST 2019: Connect with /127.0.0.1, ID: 160
Mon Oct 21 12:22:06 JST 2019: Register name as: 'op' (/127.0.0.1, ID:160)
Mon Oct 21 12:22:18 JST 2019: send msg: [narrow] to 'sh' (/100.80.194.226, ID:23)
Mon Oct 21 12:22:18 JST 2019: send msg: [narrow] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:22:18 JST 2019: send msg: [addAction:motionWith:bodyPose:0:-900:0:-400:300:1000] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:22:18 JST 2019: send msg: [addAction:say:プレゼント、絶対に失敗したくない人、何選んだらいいかわからない人におすすめ] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:22:18 JST 2019: send msg: [addAction:requestMessage:am;122218914] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:22:25 JST 2019: send msg: [122218914] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:22:26 JST 2019: send msg: [addAction:motionWith:pose:1200:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.248, ID:84)
Mon Oct 21 12:22:26 JST 2019: send msg: [addAction:say:なになに?:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:84)
Mon Oct 21 12:22:26 JST 2019: send msg: [addAction:requestMessage:am;12222615] to 'sota2' (/100.80.194.248, ID:84)
Mon Oct 21 12:22:27 JST 2019: send msg: [12222615] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:22:27 JST 2019: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:22:27 JST 2019: send msg: [addAction:say:ページ上部のマテリアルから絞り込むのところを] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:22:27 JST 2019: send msg: [addAction:requestMessage:am;122227653] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:22:28 JST 2019: send msg: [narrow] to 'sh' (/100.80.194.226, ID:23)
Mon Oct 21 12:22:28 JST 2019: send msg: [narrow] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:22:28 JST 2019: send msg: [addAction:motionWith:bodyPose:0:-900:0:-400:300:1000] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:22:28 JST 2019: send msg: [addAction:say:プレゼント、絶対に失敗したくない人、何選んだらいいかわからない人におすすめ] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:22:28 JST 2019: send msg: [addAction:requestMessage:am;122228967] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:22:31 JST 2019: send msg: [122227653] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:22:38 JST 2019: send msg: [122228967] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:22:38 JST 2019: send msg: [narrow] to 'sh' (/100.80.194.226, ID:23)
Mon Oct 21 12:22:38 JST 2019: send msg: [narrow] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:22:38 JST 2019: send msg: [addAction:motionWith:bodyPose:0:-900:0:-400:300:1000] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:22:38 JST 2019: send msg: [addAction:requestMessage:am;122238902] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:22:38 JST 2019: send msg: [addAction:say:プレゼント、絶対に失敗したくない人、何選んだらいいかわからない人におすすめ] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:22:45 JST 2019: send msg: [122238902] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:22:45 JST 2019: send msg: [addAction:motionWith:pose:1200:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.248, ID:84)
Mon Oct 21 12:22:45 JST 2019: send msg: [addAction:requestMessage:am;122245774] to 'sota2' (/100.80.194.248, ID:84)
Mon Oct 21 12:22:45 JST 2019: send msg: [addAction:say:なになに?:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:84)
Mon Oct 21 12:22:47 JST 2019: send msg: [122245774] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:22:47 JST 2019: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:22:47 JST 2019: send msg: [addAction:requestMessage:am;122247211] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:22:47 JST 2019: send msg: [addAction:say:ページ上部のマテリアルから絞り込むのところを] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:22:48 JST 2019: send msg: [narrow] to 'sh' (/100.80.194.226, ID:23)
Mon Oct 21 12:22:48 JST 2019: send msg: [narrow] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:22:49 JST 2019: send msg: [addAction:motionWith:bodyPose:0:-900:0:-400:300:1000] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:22:49 JST 2019: send msg: [addAction:say:プレゼント、絶対に失敗したくない人、何選んだらいいかわからない人におすすめ] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:22:49 JST 2019: send msg: [addAction:requestMessage:am;1222492] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:22:50 JST 2019: send msg: [122247211] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:22:57 JST 2019: send msg: [1222492] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:22:58 JST 2019: send msg: [narrow] to 'sh' (/100.80.194.226, ID:23)
Mon Oct 21 12:22:58 JST 2019: send msg: [narrow] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:22:58 JST 2019: send msg: [addAction:say:プレゼント、絶対に失敗したくない人、何選んだらいいかわからない人におすすめ] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:22:58 JST 2019: send msg: [addAction:requestMessage:am;122258906] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:22:58 JST 2019: send msg: [addAction:motionWith:bodyPose:0:-900:0:-400:300:1000] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:23:01 JST 2019: disconnect with: 'op' (/127.0.0.1,160)
Mon Oct 21 12:23:05 JST 2019: send msg: [122258906] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:23:05 JST 2019: send msg: [addAction:say:なになに?:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:84)
Mon Oct 21 12:23:05 JST 2019: send msg: [addAction:motionWith:pose:1200:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.248, ID:84)
Mon Oct 21 12:23:05 JST 2019: send msg: [addAction:requestMessage:am;12235779] to 'sota2' (/100.80.194.248, ID:84)
Mon Oct 21 12:23:07 JST 2019: send msg: [12235779] to 'am' (/100.80.194.226, ID:20)
