Mon Feb 10 19:13:08 JST 2020: @@@ RUN STAMP @@@ -- Frontier-is
Mon Feb 10 19:39:34 JST 2020: send msg: [addAction:motion:pose:-1200:-900:0:900:0:-400:0:0:700] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:39:34 JST 2020: send msg: [addAction:requestMessage:am;19393485] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:39:34 JST 2020: send msg: [19393485] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:39:35 JST 2020: send msg: [addAction:motion:pose:700:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:39:35 JST 2020: send msg: [addAction:requestMessage:am;1939350] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:39:35 JST 2020: send msg: [1939350] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:39:35 JST 2020: send msg: [addAction:requestMessage:am;193935967] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:39:35 JST 2020: send msg: [addAction:say:4ドシーのイヤリングは20代から30代の若い世代に人気なんだって] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:39:41 JST 2020: send msg: [193935967] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:39:41 JST 2020: send msg: [addAction:requestMessage:am;193941940] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:39:41 JST 2020: send msg: [addAction:say:女性が普段身につけるものだからこそ、丁寧に選びたいね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:39:41 JST 2020: send msg: [addAction:say:そうなんだ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:39:44 JST 2020: send msg: [clear] to 'sh' (/127.0.0.1, ID:16)
Mon Feb 10 19:39:44 JST 2020: send msg: [kanren] to 'sh' (/127.0.0.1, ID:16)
Mon Feb 10 19:39:45 JST 2020: send msg: [clear] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:39:45 JST 2020: send msg: [kanren] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:39:45 JST 2020: send msg: [clearBehavior] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:39:45 JST 2020: send msg: [clearBehavior] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:39:45 JST 2020: send msg: [addAction:say:上品なイヤリングだね] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:39:45 JST 2020: send msg: [addAction:requestMessage:am;193945156] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:39:47 JST 2020: send msg: [193945156] to 'am' (/127.0.0.1, ID:10)
