Tue Jan 07 14:21:15 JST 2020: @@@ RUN STAMP @@@ -- Frontier-is
Tue Jan 07 15:11:02 JST 2020: send msg: [addAction:say:そうだね、華やかさもあるね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:11:02 JST 2020: send msg: [addAction:requestMessage:am;15112398] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:11:05 JST 2020: send msg: [15112398] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:11:05 JST 2020: send msg: [addAction:say:ファッションを選ばずに合わせられそうだね] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:11:05 JST 2020: send msg: [addAction:requestMessage:am;15115704] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:11:08 JST 2020: send msg: [15115704] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:11:08 JST 2020: send msg: [addAction:requestMessage:am;15118657] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:11:08 JST 2020: send msg: [addAction:say:うん、確かにそうだね。:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:11:08 JST 2020: send msg: [addAction:say:もう少し、他のも見てみたいなあ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:11:14 JST 2020: send msg: [15118657] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:11:14 JST 2020: send msg: [addAction:wait:1500] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:11:14 JST 2020: send msg: [addAction:motionWith:bodyPose:0:-900:0:-400:300:1000] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:11:14 JST 2020: send msg: [addAction:requestMessage:am;151114929] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:11:14 JST 2020: send msg: [addAction:say:長いイヤリングは存在感があって女性に人気みたいだよ] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:11:21 JST 2020: send msg: [151114929] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:12:04 JST 2020: send msg: [clear] to 'sh' (/127.0.0.1, ID:22)
Tue Jan 07 15:12:04 JST 2020: send msg: [praisesilver] to 'sh' (/127.0.0.1, ID:22)
Tue Jan 07 15:12:04 JST 2020: send msg: [clear] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:12:04 JST 2020: send msg: [clearBehavior] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:12:04 JST 2020: send msg: [clearBehavior] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:12:43 JST 2020: send msg: [clear] to 'sh' (/127.0.0.1, ID:22)
Tue Jan 07 15:12:43 JST 2020: send msg: [28] to 'sh' (/127.0.0.1, ID:22)
Tue Jan 07 15:12:43 JST 2020: send msg: [clear] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:12:43 JST 2020: send msg: [clearBehavior] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:12:43 JST 2020: send msg: [clearBehavior] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:12:43 JST 2020: send msg: [28] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:12:43 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:12:43 JST 2020: send msg: [addAction:say:あのイヤリング良さそうじゃない?] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:12:43 JST 2020: send msg: [addAction:requestMessage:am;151243837] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:12:46 JST 2020: send msg: [151243837] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:12:46 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:12:46 JST 2020: send msg: [addAction:requestMessage:am;151246331] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:12:46 JST 2020: send msg: [addAction:say:何番、何番?:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:16)
