Wed Jan 15 16:08:08 JST 2020: @@@ RUN STAMP @@@ -- Frontier-is
Wed Jan 15 16:08:08 JST 2020: Connect with /127.0.0.1, ID: 10
Wed Jan 15 16:47:17 JST 2020: send msg: [16471334] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 16:47:17 JST 2020: send msg: [addAction:say:分からないなりに真剣に考えてみようかな:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 16:47:17 JST 2020: send msg: [addAction:requestMessage:am;164717408] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 16:47:21 JST 2020: send msg: [164717408] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 16:47:29 JST 2020: Connect with /127.0.0.1, ID: 141
Wed Jan 15 16:47:29 JST 2020: Register name as: 'op' (/127.0.0.1, ID:141)
Wed Jan 15 17:03:41 JST 2020: disconnect with: 'op' (/127.0.0.1,141)
Wed Jan 15 17:13:43 JST 2020: Connect with /127.0.0.1, ID: 145
Wed Jan 15 17:13:43 JST 2020: Register name as: 'op' (/127.0.0.1, ID:145)
Wed Jan 15 17:20:16 JST 2020: disconnect with: 'op' (/127.0.0.1,145)
Wed Jan 15 17:24:07 JST 2020: Connect with /127.0.0.1, ID: 149
Wed Jan 15 17:24:07 JST 2020: Register name as: 'op' (/127.0.0.1, ID:149)
Wed Jan 15 17:24:16 JST 2020: send msg: [4doc] to 'sh' (/127.0.0.1, ID:12)
Wed Jan 15 17:24:16 JST 2020: send msg: [4doc] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 17:24:16 JST 2020: send msg: [addAction:idleMode:breath] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 17:24:16 JST 2020: send msg: [addAction:requestMessage:am;172416457] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 17:24:16 JST 2020: send msg: [172416457] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 17:24:16 JST 2020: send msg: [addAction:idleMode:breath] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 17:24:16 JST 2020: send msg: [addAction:requestMessage:am;172416832] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 17:24:17 JST 2020: send msg: [172416832] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 17:24:17 JST 2020: send msg: [addAction:motion:pose:-1200:-900:0:900:0:-400:0:0:700] to 'sota' (/100.80.194.202, ID:34)
