Sun Dec 15 08:04:23 JST 2019: @@@ RUN STAMP @@@ -- Frontier-is
Sun Dec 15 08:04:23 JST 2019: Connect with /100.80.194.248, ID: 10
Sun Dec 15 08:09:20 JST 2019: send msg: [8914827] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:09:30 JST 2019: send msg: [clear] to 'sh' (/100.80.194.226, ID:19)
Sun Dec 15 08:09:30 JST 2019: send msg: [ok_long] to 'sh' (/100.80.194.226, ID:19)
Sun Dec 15 08:09:30 JST 2019: send msg: [clear] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:09:30 JST 2019: send msg: [clearBehavior] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:09:30 JST 2019: send msg: [clearBehavior] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:10:44 JST 2019: send msg: [clear] to 'sh' (/100.80.194.226, ID:19)
Sun Dec 15 08:10:44 JST 2019: send msg: [34_2] to 'sh' (/100.80.194.226, ID:19)
Sun Dec 15 08:10:44 JST 2019: send msg: [clear] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:10:44 JST 2019: send msg: [clearBehavior] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:10:44 JST 2019: send msg: [clearBehavior] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:10:44 JST 2019: send msg: [34_2] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:10:44 JST 2019: send msg: [addAction:say:僕が一番気に入っているイヤリングあるんだけど、言ってもいい?] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:10:44 JST 2019: send msg: [addAction:requestMessage:am;81044837] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:10:49 JST 2019: send msg: [81044837] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:10:49 JST 2019: send msg: [addAction:say:何番、何番?:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:10:49 JST 2019: send msg: [addAction:requestMessage:am;81049267] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:10:51 JST 2019: send msg: [81049267] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:10:51 JST 2019: send msg: [addAction:say:34番、シンプルな素材のピンクゴールドが一番いいね] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:10:51 JST 2019: send msg: [addAction:requestMessage:am;81051505] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:10:56 JST 2019: send msg: [81051505] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:10:56 JST 2019: send msg: [addAction:motionWith:bodyPose:0:300:-500:900:0:1000] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:10:56 JST 2019: send msg: [addAction:say:ピンクゴールドの優しい輝きが女性らしさを引き立ててくれそう:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:10:56 JST 2019: send msg: [addAction:requestMessage:am;81056897] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:11:03 JST 2019: send msg: [81056897] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:11:03 JST 2019: send msg: [addAction:say:34番、喜んでくれること間違いないね] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:11:03 JST 2019: send msg: [addAction:requestMessage:am;8113712] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:11:07 JST 2019: send msg: [8113712] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:11:17 JST 2019: send msg: [clear] to 'sh' (/100.80.194.226, ID:19)
Sun Dec 15 08:11:17 JST 2019: send msg: [ok_long] to 'sh' (/100.80.194.226, ID:19)
Sun Dec 15 08:11:17 JST 2019: send msg: [clear] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:11:17 JST 2019: send msg: [clearBehavior] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:11:17 JST 2019: send msg: [clearBehavior] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:11:21 JST 2019: disconnect with: 'op' (/127.0.0.1,29)
Sun Dec 15 08:13:01 JST 2019: Connect with /127.0.0.1, ID: 140
Sun Dec 15 08:13:01 JST 2019: Register name as: 'op' (/127.0.0.1, ID:140)
Sun Dec 15 08:13:04 JST 2019: disconnect with: 'op' (/127.0.0.1,140)
Sun Dec 15 08:13:17 JST 2019: Connect with /127.0.0.1, ID: 144
Sun Dec 15 08:13:17 JST 2019: Register name as: 'op' (/127.0.0.1, ID:144)
Sun Dec 15 08:13:26 JST 2019: send msg: [4doc] to 'sh' (/100.80.194.226, ID:19)
Sun Dec 15 08:13:26 JST 2019: send msg: [4doc] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:13:26 JST 2019: send msg: [addAction:motion:pose:-1200:-900:0:900:0:-400:0:0:500] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:13:26 JST 2019: send msg: [addAction:requestMessage:am;81326856] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:13:27 JST 2019: send msg: [81326856] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:13:27 JST 2019: send msg: [addAction:motion:pose:700:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:13:27 JST 2019: send msg: [addAction:requestMessage:am;81327568] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:13:28 JST 2019: send msg: [81327568] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:13:28 JST 2019: send msg: [addAction:say:4ドシーのイヤリングは20代から30代の若い世代に人気なんだって] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:13:28 JST 2019: send msg: [addAction:requestMessage:am;81328484] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:13:32 JST 2019: send msg: [clear] to 'sh' (/100.80.194.226, ID:19)
Sun Dec 15 08:13:32 JST 2019: send msg: [kanren] to 'sh' (/100.80.194.226, ID:19)
Sun Dec 15 08:13:32 JST 2019: send msg: [clear] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:13:32 JST 2019: send msg: [kanren] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:13:32 JST 2019: send msg: [clearBehavior] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:13:32 JST 2019: send msg: [clearBehavior] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:13:33 JST 2019: send msg: [addAction:say:大人っぽいイヤリングはいいなあ] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:13:33 JST 2019: send msg: [addAction:requestMessage:am;813337] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:13:36 JST 2019: send msg: [813337] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:13:36 JST 2019: send msg: [addAction:say:イヤリング一つで、与える印象がだいぶ変わるね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:13:36 JST 2019: send msg: [addAction:requestMessage:am;81336669] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:13:41 JST 2019: send msg: [81336669] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:13:41 JST 2019: send msg: [addAction:wait:3000] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:13:41 JST 2019: send msg: [addAction:say:他にはどんなのがあるかな] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:13:41 JST 2019: send msg: [addAction:requestMessage:am;81341247] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:13:46 JST 2019: send msg: [81341247] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:13:47 JST 2019: send msg: [addAction:say:大人っぽいものからかわいいものまでたくさんあるね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:13:47 JST 2019: send msg: [addAction:requestMessage:am;81346998] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:13:51 JST 2019: send msg: [81346998] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:13:51 JST 2019: send msg: [addAction:wait:3500] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:13:51 JST 2019: send msg: [addAction:say:ページの上の方から条件を変えて検索できるっぽいね] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:13:51 JST 2019: send msg: [addAction:requestMessage:am;81351627] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:13:59 JST 2019: send msg: [81351627] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:13:59 JST 2019: send msg: [addaction:wait:4000] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:13:59 JST 2019: send msg: [addAction:requestMessage:am;81359460] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:13:59 JST 2019: send msg: [addAction:say:他の商品をいろいろ見てから決めルの大事だね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:13:59 JST 2019: send msg: [addAction:motionWith:bodyPose:0:300:-500:900:0:1000] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:14:04 JST 2019: send msg: [81359460] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:14:14 JST 2019: send msg: [clear] to 'sh' (/100.80.194.226, ID:19)
Sun Dec 15 08:14:14 JST 2019: send msg: [kanren] to 'sh' (/100.80.194.226, ID:19)
Sun Dec 15 08:14:15 JST 2019: send msg: [clear] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:14:15 JST 2019: send msg: [clearBehavior] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:14:15 JST 2019: send msg: [clearBehavior] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:14:15 JST 2019: send msg: [kanren] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:14:15 JST 2019: send msg: [addAction:say:キュートなイヤリングだね] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:14:15 JST 2019: send msg: [addAction:requestMessage:am;8141588] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:14:16 JST 2019: send msg: [8141588] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:14:16 JST 2019: send msg: [addAction:say:そうだね、華やかさもあるね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:14:16 JST 2019: send msg: [addAction:requestMessage:am;81416869] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:14:19 JST 2019: send msg: [81416869] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:14:20 JST 2019: send msg: [addAction:say:ファッションを選ばずに合わせられそうだね] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:14:20 JST 2019: send msg: [addAction:requestMessage:am;8142022] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:14:22 JST 2019: send msg: [8142022] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:14:22 JST 2019: send msg: [addAction:say:もう少し、他のも見てみたいなあ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:14:22 JST 2019: send msg: [addAction:requestMessage:am;81422972] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:14:26 JST 2019: send msg: [81422972] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:14:26 JST 2019: send msg: [addAction:wait:5000] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:14:26 JST 2019: send msg: [addAction:say:ページの下の方に関連商品があるから、そこも見てみると良さそう] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:14:26 JST 2019: send msg: [addAction:requestMessage:am;81426380] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:14:36 JST 2019: send msg: [81426380] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:14:36 JST 2019: send msg: [addAction:motionWith:bodyPose:0:300:-500:900:0:1000] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:14:36 JST 2019: send msg: [addAction:say:もっと良さそうなのがあるかもしれないね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:14:36 JST 2019: send msg: [addAction:requestMessage:am;81436866] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:14:39 JST 2019: send msg: [rubi] to 'sh' (/100.80.194.226, ID:19)
Sun Dec 15 08:14:39 JST 2019: send msg: [rubi] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:14:39 JST 2019: send msg: [addAction:motionWith:pose:-1200:-900:0:900:0:-400:0:0:700] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:14:39 JST 2019: send msg: [addAction:requestMessage:am;81439722] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:14:39 JST 2019: send msg: [addAction:say:どんな素材が使われているかで、イヤリングを選ぶほうほうもあるのかあ] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:14:40 JST 2019: send msg: [81436866] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:14:44 JST 2019: send msg: [81439722] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:14:49 JST 2019: send msg: [silver] to 'sh' (/100.80.194.226, ID:19)
Sun Dec 15 08:14:49 JST 2019: send msg: [silver] to 'am' (/100.80.194.226, ID:16)
