Fri Oct 11 14:23:22 JST 2019: @@@ RUN STAMP @@@ -- Frontier-is
Fri Oct 11 14:23:22 JST 2019: Connect with /100.80.194.128, ID: 10
Fri Oct 11 14:36:35 JST 2019: send msg: [addAction:say:ハートにするといいよ。] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:36:37 JST 2019: send msg: [143635238] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:36:37 JST 2019: send msg: [addAction:posture:homePosture] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:36:37 JST 2019: send msg: [addAction:say:ハートだね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:36:37 JST 2019: send msg: [addAction:requestMessage:am;143637475] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:36:39 JST 2019: send msg: [143637475] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:36:39 JST 2019: send msg: [addAction:motionWith:bodyPose:0:-900:0:-400:300:1000] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:36:39 JST 2019: send msg: [addAction:requestMessage:am;143639205] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:36:39 JST 2019: send msg: [addAction:say:結局、女性はハートが好きなんだ] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:36:43 JST 2019: send msg: [143639205] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:36:43 JST 2019: send msg: [addAction:say:ハート、良さそう:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:36:43 JST 2019: send msg: [addAction:requestMessage:am;143643338] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:36:45 JST 2019: send msg: [143643338] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:37:03 JST 2019: send msg: [simple] to 'sh' (/100.80.194.226, ID:22)
Fri Oct 11 14:37:03 JST 2019: send msg: [simple] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:37:03 JST 2019: send msg: [addAction:motionWith:pose:-1200:-900:0:900:0:-400:0:0:700] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:37:03 JST 2019: send msg: [addAction:requestMessage:am;14373766] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:37:03 JST 2019: send msg: [addAction:say:おっ、いいの選んでるねえ] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:37:06 JST 2019: send msg: [14373766] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:37:06 JST 2019: send msg: [addAction:motionWith:pose:1200:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:37:06 JST 2019: send msg: [addAction:say:清潔感があるなあ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:37:06 JST 2019: send msg: [addAction:requestMessage:am;14376766] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:37:09 JST 2019: send msg: [14376766] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:37:09 JST 2019: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:37:09 JST 2019: send msg: [addAction:say:派手なものを選ぶと、好みがわかれるからね。] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:37:09 JST 2019: send msg: [addAction:requestMessage:am;14379221] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:37:13 JST 2019: send msg: [14379221] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:37:13 JST 2019: send msg: [addAction:motionWith:bodyPose:0:300:-500:900:0:1000] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:37:13 JST 2019: send msg: [addAction:say:やっぱりシンプルなものがいいよね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:37:13 JST 2019: send msg: [addAction:requestMessage:am;14371385] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:37:16 JST 2019: send msg: [14371385] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:37:16 JST 2019: send msg: [addAction:motionWith:bodyPose:0:-900:0:-400:300:500] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:37:16 JST 2019: send msg: [addAction:say:ただちょっと、子供っぽくみられちゃうかもなあ] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:37:16 JST 2019: send msg: [addAction:requestMessage:am;143716492] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:37:21 JST 2019: send msg: [143716492] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:37:42 JST 2019: send msg: [cute] to 'sh' (/100.80.194.226, ID:22)
Fri Oct 11 14:37:42 JST 2019: send msg: [cute] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:37:42 JST 2019: send msg: [addAction:motionWith:pose:-1200:-900:0:900:0:-400:0:0:700] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:37:42 JST 2019: send msg: [addAction:say:キュートなデザインだね] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:37:42 JST 2019: send msg: [addAction:requestMessage:am;143742860] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:37:45 JST 2019: send msg: [143742860] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:37:45 JST 2019: send msg: [addAction:motionWith:pose:1200:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:37:45 JST 2019: send msg: [addAction:say:女性らしくていいなあ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:37:45 JST 2019: send msg: [addAction:requestMessage:am;143745251] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:37:47 JST 2019: send msg: [143745251] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:37:47 JST 2019: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:37:47 JST 2019: send msg: [addAction:say:コーティングもされてて、長く使ってもらえそうだね。] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:37:47 JST 2019: send msg: [addAction:requestMessage:am;143747742] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:37:52 JST 2019: send msg: [143747742] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:37:52 JST 2019: send msg: [addAction:motionWith:bodyPose:0:300:-500:900:0:1000] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:37:52 JST 2019: send msg: [addAction:say:これ、なかなかいいなあ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:37:52 JST 2019: send msg: [addAction:requestMessage:am;143752471] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:37:55 JST 2019: send msg: [143752471] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:37:55 JST 2019: send msg: [addAction:say:もう少し探してみてもいいかもね] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:37:55 JST 2019: send msg: [addAction:requestMessage:am;143755318] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:38:00 JST 2019: send msg: [143755318] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:38:10 JST 2019: send msg: [nega-long] to 'sh' (/100.80.194.226, ID:22)
Fri Oct 11 14:38:10 JST 2019: send msg: [nega-long] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:38:10 JST 2019: send msg: [addAction:motionWith:bodyPose:0:-900:0:-400:300:1000] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:38:10 JST 2019: send msg: [addAction:say:僕の友だちが、ちょっと長めなイヤリングを彼女にプレゼントしたんだよ。] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:38:10 JST 2019: send msg: [addAction:requestMessage:am;143810438] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:38:16 JST 2019: send msg: [143810438] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:38:16 JST 2019: send msg: [addAction:motionWith:pose:1200:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:38:16 JST 2019: send msg: [addAction:say:うん、うん、ゴージャスだもんね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:38:16 JST 2019: send msg: [addAction:requestMessage:am;143816794] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:38:19 JST 2019: send msg: [143816794] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:38:20 JST 2019: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:38:20 JST 2019: send msg: [addAction:say:でも、その彼女は1回つけただけで、全然つけてくれなかったんだよ] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:38:20 JST 2019: send msg: [addAction:requestMessage:am;14382051] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:38:28 JST 2019: send msg: [14382051] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:38:28 JST 2019: send msg: [addAction:motionWith:bodyPose:0:300:-500:900:0:1000] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:38:28 JST 2019: send msg: [addAction:say:なんだって、真剣に選んだのに、どうして?:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:38:28 JST 2019: send msg: [addAction:requestMessage:am;143828389] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:38:33 JST 2019: send msg: [143828389] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:38:33 JST 2019: send msg: [addAction:motionWith:pose:-800:-900:0:900:0:0:0:0:700] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:38:33 JST 2019: send msg: [addAction:say:長いイヤリングが揺れるのが邪魔だったみたいだよ。] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:38:33 JST 2019: send msg: [addAction:requestMessage:am;143833170] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:38:37 JST 2019: send msg: [143833170] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:38:37 JST 2019: send msg: [addAction:posture:homePosture] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:38:37 JST 2019: send msg: [addAction:say:なるほど、長いイヤリングはさけたほうがいいみたいだね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:38:37 JST 2019: send msg: [addAction:requestMessage:am;143837340] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:38:42 JST 2019: send msg: [143837340] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:38:58 JST 2019: send msg: [price] to 'sh' (/100.80.194.226, ID:22)
