Fri Nov 08 14:00:48 JST 2019: send msg: [14044259] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 14:00:48 JST 2019: send msg: [addAction:motionWith:pose:-800:-900:0:900:0:0:0:0:700] to 'sota' (/100.80.194.247, ID:32)
Fri Nov 08 14:00:48 JST 2019: send msg: [addAction:say:長いイヤリングが揺れるのが邪魔だったみたいだよ。] to 'sota' (/100.80.194.247, ID:32)
Fri Nov 08 14:00:48 JST 2019: send msg: [addAction:requestMessage:am;14048735] to 'sota' (/100.80.194.247, ID:32)
Fri Nov 08 14:00:52 JST 2019: send msg: [14048735] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 14:00:53 JST 2019: send msg: [addAction:posture:homePosture] to 'sota2' (/100.80.194.248, ID:35)
Fri Nov 08 14:00:53 JST 2019: send msg: [addAction:say:なるほど、長いイヤリングはさけたほうがいいみたいだね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:35)
Fri Nov 08 14:00:53 JST 2019: send msg: [addAction:requestMessage:am;140537] to 'sota2' (/100.80.194.248, ID:35)
Fri Nov 08 14:00:58 JST 2019: send msg: [140537] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 14:01:03 JST 2019: disconnect with: 'op' (/127.0.0.1,38)
Fri Nov 08 14:01:20 JST 2019: disconnect with: 'sota' (/100.80.194.247,32)
Fri Nov 08 14:01:34 JST 2019: Connect with /100.80.194.247, ID: 117
Fri Nov 08 14:01:34 JST 2019: Register name as: 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 14:01:42 JST 2019: disconnect with: 'sota2' (/100.80.194.248,35)
Fri Nov 08 14:01:55 JST 2019: Connect with /100.80.194.248, ID: 121
Fri Nov 08 14:01:55 JST 2019: Register name as: 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 14:02:13 JST 2019: Connect with /100.80.194.226, ID: 124
Fri Nov 08 14:02:13 JST 2019: Register name as: 'pp' (/100.80.194.226, ID:124)
Fri Nov 08 14:02:22 JST 2019: send msg: [narrow] to 'sh' (/100.80.194.226, ID:16)
Fri Nov 08 14:02:22 JST 2019: send msg: [narrow] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 14:02:22 JST 2019: send msg: [addAction:motionWith:bodyPose:0:-900:0:-400:300:1000] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 14:02:22 JST 2019: send msg: [addAction:say:プレゼント、絶対に失敗したくない人、何選んだらいいかわからない人におすすめ] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 14:02:22 JST 2019: send msg: [addAction:requestMessage:am;1422232] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 14:02:29 JST 2019: send msg: [1422232] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 14:02:29 JST 2019: send msg: [addAction:motionWith:pose:1200:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 14:02:29 JST 2019: send msg: [addAction:say:なになに?:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 14:02:29 JST 2019: send msg: [addAction:requestMessage:am;14229357] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 14:02:31 JST 2019: send msg: [14229357] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 14:02:31 JST 2019: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 14:02:31 JST 2019: send msg: [addAction:say:ページ上部のマテリアルから絞り込むのところを] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 14:02:31 JST 2019: send msg: [addAction:requestMessage:am;14231137] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 14:02:35 JST 2019: send msg: [14231137] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 14:02:35 JST 2019: send msg: [addAction:motionWith:bodyPose:0:300:-500:900:0:1000] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 14:02:35 JST 2019: send msg: [addAction:say:マテリアルのところを:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 14:02:35 JST 2019: send msg: [addAction:requestMessage:am;14235257] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 14:02:37 JST 2019: send msg: [14235257] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 14:02:37 JST 2019: send msg: [addAction:motionWith:pose:-800:-900:0:900:0:0:0:0:700] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 14:02:37 JST 2019: send msg: [addAction:say:K10ホワイトゴールドにして検索ボタンを押してね] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 14:02:37 JST 2019: send msg: [addAction:requestMessage:am;14237597] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 14:02:42 JST 2019: send msg: [14237597] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 14:02:42 JST 2019: send msg: [addAction:posture:homePosture] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 14:02:42 JST 2019: send msg: [addAction:requestMessage:am;14242327] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 14:02:42 JST 2019: send msg: [addAction:say:K10ホワイトゴールドだね、何がいいの?:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 14:02:46 JST 2019: send msg: [14242327] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 14:02:46 JST 2019: send msg: [addAction:motionWith:bodyPose:0:-900:0:-400:300:1000] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 14:02:46 JST 2019: send msg: [addAction:say:ホワイトは上品な感じをだしつつ、どんなファッションにも合わせやすいんだ] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 14:02:46 JST 2019: send msg: [addAction:requestMessage:am;14246854] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 14:02:52 JST 2019: send msg: [14246854] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 14:02:53 JST 2019: send msg: [addAction:say:なるほどなあ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 14:02:53 JST 2019: send msg: [addAction:requestMessage:am;142539] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 14:02:54 JST 2019: send msg: [142539] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 14:02:54 JST 2019: send msg: [addAction:say:コーティングされていて、長く使っても変色しにくいんだ] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 14:02:54 JST 2019: send msg: [addAction:requestMessage:am;14254844] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 14:02:59 JST 2019: send msg: [14254844] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 14:02:59 JST 2019: send msg: [addAction:say:K10ホワイトゴールド、だね、探してみるよ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 14:02:59 JST 2019: send msg: [addAction:requestMessage:am;14259727] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 14:03:04 JST 2019: send msg: [14259727] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 14:03:29 JST 2019: send msg: [narrow-gold] to 'sh' (/100.80.194.226, ID:16)
Fri Nov 08 14:03:29 JST 2019: send msg: [narrow-gold] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 14:03:29 JST 2019: send msg: [addAction:say:プレゼント、何選んだらいいか分からないよね] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 14:03:29 JST 2019: send msg: [addAction:requestMessage:am;14329340] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 14:03:33 JST 2019: send msg: [14329340] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 14:03:33 JST 2019: send msg: [addAction:say:商品がたくさんあるからね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:121)
