Tue Dec 17 23:15:46 JST 2019: @@@ RUN STAMP @@@ -- Frontier-is
Tue Dec 17 23:15:46 JST 2019: Connect with /100.80.194.248, ID: 10
Tue Dec 17 23:23:18 JST 2019: send msg: [ok_long] to 'am' (/100.80.194.226, ID:22)
Tue Dec 17 23:23:19 JST 2019: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:23:19 JST 2019: send msg: [addAction:say:これはすごく女性らしくていいイヤリングだよ] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:23:19 JST 2019: send msg: [addAction:requestMessage:am;232318997] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:23:19 JST 2019: send msg: [ok_long] to 'am' (/100.80.194.226, ID:22)
Tue Dec 17 23:23:19 JST 2019: send msg: [addAction:motionWith:pose:-1200:-900:0:900:0:-400:0:0:700] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:23:19 JST 2019: send msg: [addAction:requestMessage:am;232319114] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:23:19 JST 2019: send msg: [addAction:say:長さが特徴的なイヤリングだね] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:23:22 JST 2019: send msg: [232318997] to 'am' (/100.80.194.226, ID:22)
Tue Dec 17 23:23:25 JST 2019: send msg: [232319114] to 'am' (/100.80.194.226, ID:22)
Tue Dec 17 23:24:11 JST 2019: disconnect with: 'sh' (/100.80.194.226,25)
Tue Dec 17 23:24:14 JST 2019: disconnect with: 'am' (/100.80.194.226,22)
Tue Dec 17 23:24:26 JST 2019: Connect with /100.80.194.226, ID: 159
Tue Dec 17 23:24:26 JST 2019: Register name as: 'am' (/100.80.194.226, ID:159)
Tue Dec 17 23:24:26 JST 2019: Connect with /100.80.194.226, ID: 162
Tue Dec 17 23:24:26 JST 2019: Register name as: 'sh' (/100.80.194.226, ID:162)
Tue Dec 17 23:24:32 JST 2019: send msg: [ok_long] to 'sh' (/100.80.194.226, ID:19)
Tue Dec 17 23:24:32 JST 2019: send msg: [ok_long] to 'sh' (/100.80.194.226, ID:162)
Tue Dec 17 23:24:32 JST 2019: send msg: [ok_long] to 'am' (/100.80.194.226, ID:159)
Tue Dec 17 23:24:32 JST 2019: send msg: [ok_long] to 'am' (/100.80.194.226, ID:159)
Tue Dec 17 23:24:32 JST 2019: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:24:32 JST 2019: send msg: [addAction:say:これはすごく女性らしくていいイヤリングだよ] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:24:32 JST 2019: send msg: [addAction:requestMessage:am;232432326] to 'sota' (/100.80.194.247, ID:12)
