Fri Jan 31 21:42:14 JST 2020: @@@ RUN STAMP @@@ -- Frontier-is
Fri Jan 31 21:42:14 JST 2020: Connect with /100.80.194.162, ID: 10
Fri Jan 31 21:46:48 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:46:48 JST 2020: send msg: [addAction:say:うん、大変そう:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:46:48 JST 2020: send msg: [addAction:requestMessage:am;214648293] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:46:50 JST 2020: send msg: [214648293] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:46:50 JST 2020: send msg: [addAction:say:でも真剣に選んだら、きっと相手の女性も喜んでくれるよね!] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:46:50 JST 2020: send msg: [addAction:requestMessage:am;214650883] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:46:56 JST 2020: send msg: [214650883] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:46:56 JST 2020: send msg: [addAction:motionWith:bodyPose:0:300:-500:900:0:1000] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:46:56 JST 2020: send msg: [addAction:say:うん、うん、間違いないよ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:46:56 JST 2020: send msg: [addAction:requestMessage:am;214656327] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:46:59 JST 2020: send msg: [214656327] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:46:59 JST 2020: send msg: [addAction:say:女性のためにプレゼントをあげる男性はやっぱり、かっこいいね!] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:46:59 JST 2020: send msg: [addAction:requestMessage:am;214659226] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:47:04 JST 2020: send msg: [214659226] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:47:19 JST 2020: send msg: [clear] to 'sh' (/127.0.0.1, ID:19)
Fri Jan 31 21:47:19 JST 2020: send msg: [ok_silver] to 'sh' (/127.0.0.1, ID:19)
Fri Jan 31 21:47:20 JST 2020: send msg: [clear] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:47:20 JST 2020: send msg: [clearBehavior] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:47:20 JST 2020: send msg: [clearBehavior] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:47:20 JST 2020: send msg: [ok_silver] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:47:20 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:47:20 JST 2020: send msg: [addAction:say:このシルバーのやつすごくいいね] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:47:20 JST 2020: send msg: [addAction:requestMessage:am;214720292] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:47:22 JST 2020: send msg: [214720292] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:47:22 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:47:22 JST 2020: send msg: [addAction:requestMessage:am;214722898] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:47:22 JST 2020: send msg: [addAction:say:上品な輝き最高だね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:47:27 JST 2020: send msg: [214722898] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:47:27 JST 2020: send msg: [addAction:say:普段かわいいものばかり着けてる人に、こういう大人っぽいもの贈るのもありだね] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:47:27 JST 2020: send msg: [addAction:requestMessage:am;214727176] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:47:29 JST 2020: send msg: [clear] to 'sh' (/127.0.0.1, ID:19)
Fri Jan 31 21:47:29 JST 2020: send msg: [25] to 'sh' (/127.0.0.1, ID:19)
Fri Jan 31 21:47:29 JST 2020: send msg: [clear] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:47:29 JST 2020: send msg: [clearBehavior] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:47:29 JST 2020: send msg: [clearBehavior] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:47:29 JST 2020: send msg: [25] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:47:29 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:47:29 JST 2020: send msg: [addAction:say:あのイヤリング良さそうじゃない?] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:47:29 JST 2020: send msg: [addAction:requestMessage:am;214729697] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:47:35 JST 2020: send msg: [214729697] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:47:35 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:47:35 JST 2020: send msg: [addAction:say:何番、何番?:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:47:35 JST 2020: send msg: [addAction:requestMessage:am;21473592] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:47:37 JST 2020: send msg: [21473592] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:47:37 JST 2020: send msg: [addAction:say:25番、ちょっと長めのイヤリングで耳元の存在感を出してるね] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:47:37 JST 2020: send msg: [addAction:requestMessage:am;214737431] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:47:41 JST 2020: send msg: [clear] to 'sh' (/127.0.0.1, ID:19)
